Date,Nonfarm employment,Total private,Goods producing,Mining & logging,Construction,Manufacturing,Durable goods,Motor vehicles & parts,Nondurable goods,Private service-providing,Wholesale trade,Retail trade,Transportation & warehousing,Information,Financial activities,Professional & business services,Temporary help services,Education & health services,Health care & social assistance,Leisure & hospitality,Other services,Government
11/30/15,237.0,212.0,31.0,-15.0,51.0,-5.0,-14.0,-2.0,9.0,181.0,0.9,19.6,15.9,-13.0,12.0,34.0,-0.9,45.0,33.7,58.0,8.0,25.0
12/31/15,273.0,257.0,27.0,-10.0,32.0,5.0,-6.0,-0.9,11.0,230.0,-1.7,4.0,31.3,9.0,8.0,70.0,37.9,63.0,38.7,32.0,15.0,16.0
1/29/16,108.0,91.0,8.0,-14.0,1.0,21.0,12.0,5.0,9.0,83.0,1.5,24.6,-31.5,3.0,20.0,10.0,-43.4,12.0,40.3,48.0,-4.0,17.0
2/29/16,212.0,188.0,-30.0,-21.0,9.0,-18.0,-14.0,2.3,-4.0,218.0,-1.1,48.5,15.8,14.0,3.0,12.0,-3.1,68.0,45.7,40.0,16.0,24.0
3/31/16,237.0,197.0,-5.0,-20.0,38.0,-23.0,-21.0,-0.1,-2.0,202.0,3.0,39.1,18.6,9.0,16.0,22.0,0.1,47.0,31.0,41.0,8.0,40.0
4/29/16,197.0,191.0,21.0,-14.0,24.0,11.0,4.0,9.8,7.0,170.0,5.2,0.6,15.9,4.0,25.0,32.0,-6.8,55.0,38.8,27.0,6.0,6.0
5/31/16,41.0,26.0,-45.0,-11.0,-13.0,-21.0,-24.0,-2.6,3.0,71.0,-1.6,6.0,15.1,-36.0,12.0,4.0,-16.9,60.0,45.7,21.0,-9.0,15.0
6/30/16,258.0,277.0,20.0,-10.0,12.0,18.0,-3.0,1.6,21.0,257.0,-3.7,29.0,4.2,45.0,16.0,45.0,16.0,53.0,50.0,56.0,11.0,-19.0
7/29/16,371.0,262.0,51.0,-5.0,34.0,22.0,14.0,18.5,8.0,211.0,1.5,19.1,25.1,1.0,22.0,46.0,4.1,48.0,51.4,40.0,8.0,109.0
8/31/16,143.0,148.0,-27.0,-4.0,1.0,-24.0,-21.0,-11.3,-3.0,175.0,2.9,11.4,26.6,6.0,15.0,1.0,-3.3,53.0,47.0,46.0,13.0,-5.0
9/30/16,289.0,250.0,29.0,-2.0,32.0,-1.0,-5.0,-2.0,4.0,221.0,11.9,6.0,-5.0,7.0,7.0,67.0,22.6,56.0,38.5,60.0,11.0,39.0
10/31/16,118.0,146.0,28.0,-1.0,31.0,-2.0,0.0,1.9,-2.0,118.0,1.4,7.4,16.6,2.0,7.0,23.0,-6.7,60.0,35.3,-5.0,6.0,-28.0
11/30/16,130.0,148.0,24.0,3.0,24.0,-3.0,-6.0,1.2,3.0,124.0,2.8,-33.5,17.4,-3.0,11.0,38.0,8.8,35.0,32.9,46.0,10.0,-18.0
12/30/16,214.0,187.0,10.0,2.0,-5.0,13.0,8.0,2.6,5.0,177.0,-3.4,25.5,32.1,1.0,26.0,32.0,3.4,59.0,52.9,19.0,-15.0,27.0
1/31/17,197.0,193.0,33.0,0.0,21.0,12.0,6.0,3.2,6.0,160.0,4.0,37.3,-16.6,6.0,31.0,51.0,2.0,9.0,22.8,22.0,17.0,4.0
2/28/17,183.0,171.0,69.0,7.0,47.0,15.0,-2.0,-5.6,17.0,102.0,2.7,-42.1,21.2,-4.0,1.0,1.0,-10.8,74.0,31.6,38.0,11.0,12.0
3/31/17,139.0,134.0,35.0,3.0,21.0,11.0,4.0,3.7,7.0,99.0,3.7,-15.9,15.2,-2.0,9.0,37.0,14.5,36.0,27.4,14.0,2.0,5.0
4/28/17,220.0,207.0,31.0,9.0,10.0,12.0,5.0,3.4,7.0,176.0,3.6,-7.7,14.2,-4.0,15.0,29.0,-5.9,53.0,50.6,69.0,4.0,13.0
5/31/17,141.0,145.0,15.0,5.0,9.0,1.0,8.0,3.9,-7.0,130.0,-4.6,-24.5,22.3,-5.0,8.0,55.0,25.1,36.0,28.3,33.0,11.0,-4.0
6/30/17,211.0,202.0,44.0,4.0,28.0,12.0,12.0,1.7,0.0,158.0,7.0,5.5,13.0,5.0,16.0,36.0,15.1,25.0,52.2,42.0,8.0,9.0
7/31/17,228.0,208.0,7.0,2.0,4.0,1.0,-10.0,-18.5,11.0,201.0,0.9,-5.0,11.7,2.0,12.0,44.0,8.6,62.0,48.1,66.0,8.0,20.0
8/31/17,190.0,182.0,77.0,5.0,31.0,41.0,34.0,25.2,7.0,105.0,-1.0,-7.5,15.4,5.0,9.0,23.0,2.5,45.0,21.4,10.0,6.0,8.0
9/29/17,42.0,27.0,25.0,1.0,14.0,10.0,11.0,2.4,-1.0,2.0,2.7,-8.0,30.2,-3.0,7.0,2.0,-6.2,27.0,12.6,-49.0,-7.0,15.0
10/31/17,249.0,261.0,49.0,2.0,26.0,21.0,14.0,0.2,7.0,212.0,5.0,1.9,26.3,1.0,5.0,54.0,8.6,28.0,26.0,68.0,22.0,-12.0
11/30/17,196.0,181.0,67.0,5.0,43.0,19.0,21.0,5.8,-2.0,114.0,0.8,-4.4,7.9,2.0,13.0,27.0,6.2,42.0,29.7,17.0,9.0,15.0
12/29/17,179.0,173.0,62.0,1.0,32.0,29.0,24.0,3.7,5.0,111.0,4.9,-6.3,20.6,6.0,6.0,38.0,-2.9,25.0,27.1,17.0,0.0,6.0
1/31/18,81.0,112.0,29.0,6.0,3.0,20.0,15.0,2.1,5.0,83.0,-5.7,-22.5,8.4,-7.0,6.0,59.0,6.7,45.0,50.6,-4.0,5.0,-31.0
2/28/18,378.0,345.0,124.0,7.0,87.0,30.0,26.0,6.7,4.0,221.0,2.6,34.6,38.5,0.0,25.0,36.0,14.4,53.0,42.7,25.0,4.0,33.0
3/29/18,195.0,189.0,38.0,8.0,9.0,21.0,23.0,4.7,-2.0,151.0,13.4,14.0,31.8,11.0,7.0,43.0,6.0,31.0,35.1,2.0,-2.0,6.0
4/30/18,153.0,136.0,54.0,7.0,21.0,26.0,20.0,1.6,6.0,82.0,-21.0,-0.8,12.0,13.0,6.0,45.0,4.6,17.0,18.4,2.0,7.0,17.0
5/31/18,270.0,258.0,63.0,3.0,39.0,21.0,14.0,-6.5,7.0,195.0,3.2,10.6,22.2,-1.0,24.0,44.0,-3.0,37.0,36.4,45.0,12.0,12.0
6/29/18,214.0,189.0,51.0,6.0,16.0,29.0,25.0,6.7,4.0,138.0,6.5,-38.7,20.1,0.0,18.0,35.0,-5.5,40.0,25.2,46.0,13.0,25.0
7/31/18,149.0,142.0,45.0,0.0,24.0,21.0,17.0,-1.1,4.0,97.0,11.6,-10.3,15.1,5.0,9.0,20.0,-0.3,27.0,26.0,36.0,-13.0,7.0
8/31/18,229.0,208.0,48.0,7.0,29.0,12.0,12.0,2.8,0.0,160.0,19.7,-9.2,35.7,1.0,12.0,39.0,1.7,54.0,44.7,4.0,3.0,21.0
9/28/18,105.0,96.0,46.0,2.0,23.0,21.0,18.0,4.2,3.0,50.0,-2.9,-41.9,28.3,-4.0,22.0,36.0,0.7,27.0,36.9,-19.0,4.0,9.0
10/31/18,212.0,212.0,51.0,3.0,24.0,24.0,20.0,7.3,4.0,161.0,2.5,-30.5,33.9,13.0,16.0,37.0,4.2,47.0,46.8,34.0,8.0,0.0
11/30/18,92.0,109.0,16.0,-6.0,7.0,15.0,9.0,-1.0,6.0,93.0,8.5,11.7,23.0,1.0,12.0,21.0,-6.2,12.0,22.6,8.0,-4.0,-17.0
12/31/18,240.0,201.0,59.0,6.0,30.0,23.0,17.0,1.2,6.0,142.0,7.1,-17.7,-17.8,4.0,10.0,29.0,1.6,74.0,60.6,47.0,7.0,39.0
1/31/19,237.0,236.0,60.0,4.0,30.0,26.0,24.0,0.0,2.0,176.0,5.6,-11.8,55.9,-17.0,12.0,6.0,-26.9,44.0,37.8,78.0,3.0,1.0
2/28/19,-50.0,-30.0,-34.0,-5.0,-31.0,2.0,1.0,1.5,1.0,4.0,7.4,-29.8,3.7,-2.0,9.0,31.0,0.8,15.0,23.8,-30.0,1.0,-20.0
3/29/19,168.0,141.0,19.0,-1.0,24.0,-4.0,-8.0,-7.0,4.0,122.0,-3.6,-22.5,8.9,11.0,19.0,8.0,-10.0,64.0,63.7,22.0,15.0,27.0
4/30/19,219.0,180.0,28.0,-3.0,32.0,-1.0,-3.0,-3.2,2.0,152.0,7.5,-17.9,16.3,-4.0,15.0,39.0,-0.5,63.0,52.9,19.0,16.0,39.0
5/31/19,63.0,70.0,0.0,1.0,7.0,-8.0,-7.0,-1.1,-1.0,70.0,0.7,-14.9,13.9,9.0,8.0,18.0,-2.9,33.0,32.4,7.0,-6.0,-7.0
6/28/19,175.0,169.0,22.0,-4.0,21.0,5.0,5.0,-2.3,0.0,147.0,-2.9,-10.0,34.4,14.0,8.0,31.0,-3.6,45.0,41.3,10.0,16.0,6.0
